copy,tr,animal,litter,tissue
53,2,3,1,liver
39,3,3,1,liver
50,4,3,1,liver
40,5,3,1,liver
54,6,3,1,liver
42,1,4,1,liver
73,2,4,1,liver
61,3,4,1,liver
50,4,4,1,liver
64,5,4,1,liver
67,6,4,1,liver
83,1,1,2,liver
79,2,1,2,liver
81,3,1,2,liver
99,4,1,2,liver
75,5,1,2,liver
95,6,1,2,liver
68,1,2,2,liver
71,2,2,2,liver
89,3,2,2,liver
78,4,2,2,liver
73,5,2,2,liver
89,6,2,2,liver
81,1,3,2,liver
76,2,3,2,liver
66,3,3,2,liver
96,4,3,2,liver
68,5,3,2,liver
105,6,3,2,liver
109,1,4,2,liver
93,2,4,2,liver
95,3,4,2,liver
99,4,4,2,liver
112,5,4,2,liver
95,6,4,2,liver
64,1,1,3,liver
47,2,1,3,liver
53,3,1,3,liver
53,4,1,3,liver
53,5,1,3,liver
69,6,1,3,liver
43,1,2,3,liver
33,2,2,3,liver
37,3,2,3,liver
39,4,2,3,liver
24,5,2,3,liver
27,6,2,3,liver
48,1,3,3,liver
53,2,3,3,liver
48,3,3,3,liver
44,4,3,3,liver
51,5,3,3,liver
31,6,3,3,liver
63,1,4,3,liver
76,2,4,3,liver
59,3,4,3,liver
76,4,4,3,liver
88,5,4,3,liver
78,6,4,3,liver
14,1,1,4,liver
20,2,1,4,liver
22,3,1,4,liver
19,4,1,4,liver
19,5,1,4,liver
25,6,1,4,liver
19,1,2,4,liver
17,2,2,4,liver
21,3,2,4,liver
12,4,2,4,liver
16,5,2,4,liver
25,6,2,4,liver
19,1,3,4,liver
21,2,3,4,liver
25,3,3,4,liver
21,4,3,4,liver
20,5,3,4,liver
13,6,3,4,liver
25,1,4,4,liver
15,2,4,4,liver
27,3,4,4,liver
24,4,4,4,liver
19,5,4,4,liver
16,6,4,4,liver
97,1,1,5,liver
105,2,1,5,liver
99,3,1,5,liver
103,4,1,5,liver
107,5,1,5,liver
93,6,1,5,liver
76,1,2,5,liver
91,2,2,5,liver
86,3,2,5,liver
89,4,2,5,liver
90,5,2,5,liver
86,6,2,5,liver
50,1,3,5,liver
53,2,3,5,liver
52,3,3,5,liver
49,4,3,5,liver
47,5,3,5,liver
45,6,3,5,liver
117,1,4,5,liver
107,2,4,5,liver
102,3,4,5,liver
104,4,4,5,liver
93,5,4,5,liver
95,6,4,5,liver
42,1,1,6,liver
45,2,1,6,liver
38,3,1,6,liver
41,4,1,6,liver
44,5,1,6,liver
47,6,1,6,liver
33,1,2,6,liver
40,2,2,6,liver
41,3,2,6,liver
38,4,2,6,liver
54,5,2,6,liver
39,6,2,6,liver
40,1,3,6,liver
37,2,3,6,liver
27,3,3,6,liver
33,4,3,6,liver
32,5,3,6,liver
38,6,3,6,liver
69,1,4,6,liver
84,2,4,6,liver
64,3,4,6,liver
50,4,4,6,liver
86,5,4,6,liver
76,6,4,6,liver
46,1,1,7,liver
42,2,1,7,liver
40,3,1,7,liver
49,4,1,7,liver
61,5,1,7,liver
60,6,1,7,liver
72,1,2,7,liver
66,2,2,7,liver
79,3,2,7,liver
80,4,2,7,liver
56,5,2,7,liver
62,6,2,7,liver
67,1,3,7,liver
64,2,3,7,liver
62,3,3,7,liver
70,4,3,7,liver
49,5,3,7,liver
39,6,3,7,liver
32,1,4,7,liver
26,2,4,7,liver
42,3,4,7,liver
40,4,4,7,liver
33,5,4,7,liver
40,6,4,7,liver
35,1,1,8,liver
37,2,1,8,liver
37,3,1,8,liver
37,4,1,8,liver
22,5,1,8,liver
39,6,1,8,liver
42,1,2,8,liver
34,2,2,8,liver
39,3,2,8,liver
40,4,2,8,liver
32,5,2,8,liver
41,6,2,8,liver
24,1,3,8,liver
31,2,3,8,liver
26,3,3,8,liver
20,4,3,8,liver
31,5,3,8,liver
21,6,3,8,liver
41,1,4,8,liver
37,2,4,8,liver
37,3,4,8,liver
32,4,4,8,liver
49,5,4,8,liver
30,6,4,8,liver
71,1,1,9,liver
79,2,1,9,liver
79,3,1,9,liver
79,4,1,9,liver
59,5,1,9,liver
60,6,1,9,liver
69,1,2,9,liver
68,2,2,9,liver
69,3,2,9,liver
80,4,2,9,liver
79,5,2,9,liver
73,6,2,9,liver
58,1,3,9,liver
65,2,3,9,liver
66,3,3,9,liver
75,4,3,9,liver
70,5,3,9,liver
80,6,3,9,liver
81,1,4,9,liver
66,2,4,9,liver
78,3,4,9,liver
68,4,4,9,liver
75,5,4,9,liver
84,6,4,9,liver
55,1,1,10,liver
71,2,1,10,liver
63,3,1,10,liver
81,4,1,10,liver
68,5,1,10,liver
77,6,1,10,liver
60,1,2,10,liver
62,2,2,10,liver
68,3,2,10,liver
78,4,2,10,liver
70,5,2,10,liver
59,6,2,10,liver
73,1,3,10,liver
55,2,3,10,liver
